"Residential Zone Type" "Industrial Zone Type" "Commercial Zone Type" "Inner Traffic Ratio" "COMMERCIAL Zone (1)" "COMMERCIAL Zone (2)" "COMMERCIAL Zone (3)" "INDUSTRIAL Zone (4)" "RESIDENTIAL Zone (5)"
67 100 34 1 67 34 67 34 34
1 100 34 1 67 34 67 34 34
1 34 34 1 67 34 67 34 34
1 34 100 1 67 34 67 34 34
1 34 100 0.333333333333333 67 34 67 34 34
1 34 100 0.333333333333333 1 34 67 34 34
1 34 100 0.333333333333333 1 100 67 34 34
1 34 100 0.333333333333333 1 100 1 34 34
1 34 100 0.333333333333333 1 100 1 100 34
1 34 100 0.333333333333333 1 100 1 100 100
100 34 34 1 100 1 67 1 67
34 34 34 1 100 1 67 1 67
34 100 34 1 100 1 67 1 67
34 100 100 1 100 1 67 1 67
34 100 100 0.333333333333333 100 1 67 1 67
34 100 100 0.333333333333333 34 1 67 1 67
34 100 100 0.333333333333333 34 67 67 1 67
34 100 100 0.333333333333333 34 67 1 1 67
34 100 100 0.333333333333333 34 67 1 67 67
34 100 100 0.333333333333333 34 67 1 67 1
100 100 1 1 1 1 1 1 34
34 100 1 1 1 1 1 1 34
34 34 1 1 1 1 1 1 34
34 34 67 1 1 1 1 1 34
34 34 67 0.333333333333333 1 1 1 1 34
34 34 67 0.333333333333333 67 1 1 1 34
34 34 67 0.333333333333333 67 67 1 1 34
34 34 67 0.333333333333333 67 67 67 1 34
34 34 67 0.333333333333333 67 67 67 67 34
34 34 67 0.333333333333333 67 67 67 67 100
100 34 67 0 100 100 1 34 34
34 34 67 0 100 100 1 34 34
34 100 67 0 100 100 1 34 34
34 100 1 0 100 100 1 34 34
34 100 1 0.666666666666667 100 100 1 34 34
34 100 1 0.666666666666667 34 100 1 34 34
34 100 1 0.666666666666667 34 34 1 34 34
34 100 1 0.666666666666667 34 34 67 34 34
34 100 1 0.666666666666667 34 34 67 100 34
34 100 1 0.666666666666667 34 34 67 100 100
67 34 100 1 34 100 67 100 67
1 34 100 1 34 100 67 100 67
1 100 100 1 34 100 67 100 67
1 100 34 1 34 100 67 100 67
1 100 34 0.333333333333333 34 100 67 100 67
1 100 34 0.333333333333333 100 100 67 100 67
1 100 34 0.333333333333333 100 34 67 100 67
1 100 34 0.333333333333333 100 34 1 100 67
1 100 34 0.333333333333333 100 34 1 34 67
1 100 34 0.333333333333333 100 34 1 34 1
1 67 100 1 100 100 34 1 34
67 67 100 1 100 100 34 1 34
67 1 100 1 100 100 34 1 34
67 1 34 1 100 100 34 1 34
67 1 34 0.333333333333333 100 100 34 1 34
67 1 34 0.333333333333333 34 100 34 1 34
67 1 34 0.333333333333333 34 34 34 1 34
67 1 34 0.333333333333333 34 34 100 1 34
67 1 34 0.333333333333333 34 34 100 67 34
67 1 34 0.333333333333333 34 34 100 67 100
100 67 67 0.666666666666667 34 34 34 100 100
34 67 67 0.666666666666667 34 34 34 100 100
34 1 67 0.666666666666667 34 34 34 100 100
34 1 1 0.666666666666667 34 34 34 100 100
34 1 1 0 34 34 34 100 100
34 1 1 0 100 34 34 100 100
34 1 1 0 100 100 34 100 100
34 1 1 0 100 100 100 100 100
34 1 1 0 100 100 100 34 100
34 1 1 0 100 100 100 34 34
34 1 34 0.333333333333333 67 67 67 1 1
100 1 34 0.333333333333333 67 67 67 1 1
100 67 34 0.333333333333333 67 67 67 1 1
100 67 100 0.333333333333333 67 67 67 1 1
100 67 100 1 67 67 67 1 1
100 67 100 1 1 67 67 1 1
100 67 100 1 1 1 67 1 1
100 67 100 1 1 1 1 1 1
100 67 100 1 1 1 1 67 1
100 67 100 1 1 1 1 67 67
67 1 100 0.333333333333333 100 1 100 34 67
1 1 100 0.333333333333333 100 1 100 34 67
1 67 100 0.333333333333333 100 1 100 34 67
1 67 34 0.333333333333333 100 1 100 34 67
1 67 34 1 100 1 100 34 67
1 67 34 1 34 1 100 34 67
1 67 34 1 34 67 100 34 67
1 67 34 1 34 67 34 34 67
1 67 34 1 34 67 34 100 67
1 67 34 1 34 67 34 100 1
100 34 34 0.333333333333333 34 34 67 67 67
34 34 34 0.333333333333333 34 34 67 67 67
34 100 34 0.333333333333333 34 34 67 67 67
34 100 100 0.333333333333333 34 34 67 67 67
34 100 100 1 34 34 67 67 67
34 100 100 1 100 34 67 67 67
34 100 100 1 100 100 67 67 67
34 100 100 1 100 100 1 67 67
34 100 100 1 100 100 1 1 67
34 100 100 1 100 100 1 1 1
